Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,13,15,0.9993468204556257,11.4,28.733333333333334,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,13,20,0.9988945830333319,11.966666666666667,28.833333333333332,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,25,13,0.9998887837903552,9.9,17.2,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,50,13,0.9999292545690411,7.966666666666667,7.966666666666667,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,100,13,0.9999292545690411,5.666666666666667,5.666666666666667,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.5,0.8,1.6,13,13,0.9993843108281294,12.733333333333333,15.966666666666667,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,1.0,0.8,1.6,13,13,0.9999148231285794,27.666666666666668,34.13333333333333,"Booth, Const4, Rejection"
Langermann,Constraint 1,Penalty Method,0.05,0.8,1.6,13,13,0.9295413732611795,13.5,23.933333333333334,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.1,0.8,1.6,13,13,0.8884649921410237,11.233333333333333,23.166666666666668,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.25,0.8,1.6,13,13,0.9303734914186078,11.2,18.833333333333332,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.32889556964375904,5.6,48.56666666666667,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,5,13,0.7891926251854117,14.333333333333334,40.36666666666667,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,10,13,0.9506198777284066,12.433333333333334,19.433333333333334,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,13,1,0.8412514824497278,37.9,49.5,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,13,5,0.934547289423434,18.9,26.2,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,13,10,0.9581475946295999,12.533333333333333,19.6,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,13,15,0.9721507470422849,9.833333333333334,12.366666666666667,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,13,20,0.9721507470422849,9.1,11.933333333333334,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,25,13,1.0,8.366666666666667,8.366666666666667,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,50,13,1.0,6.833333333333333,6.833333333333333,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.3,0.8,1.6,100,13,1.0,6.266666666666667,6.266666666666667,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,0.5,0.8,1.6,13,13,0.9303768676057123,11.466666666666667,18.066666666666666,"Langermann, without Const"
Langermann,Constraint 1,Penalty Method,1.0,0.8,1.6,13,13,0.9581849577665734,21.466666666666665,30.0,"Langermann, without Const"
Langermann,Constraint 3,Penalty Method,0.05,0.8,1.6,13,13,0.9823367484990312,11.766666666666667,30.666666666666668,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.1,0.8,1.6,13,13,0.9987545057330838,13.366666666666667,25.233333333333334,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.25,0.8,1.6,13,13,0.9664269216045442,10.266666666666667,13.1,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.4193112841430583,5.466666666666667,50.0,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,5,13,0.9521508471098611,14.933333333333334,36.46666666666667,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,10,13,0.9831941031638508,11.633333333333333,17.333333333333332,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,13,1,0.9236627468549835,37.53333333333333,50.0,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,13,5,0.9976980642926104,19.566666666666666,25.366666666666667,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,13,10,0.9999932476257911,12.2,14.633333333333333,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,13,15,1.0,8.433333333333334,8.433333333333334,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,13,20,1.0,8.5,8.5,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,25,13,1.0,8.1,8.1,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,50,13,1.0,6.3,6.3,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,100,13,1.0,5.266666666666667,5.266666666666667,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,0.5,0.8,1.6,13,13,1.0,11.466666666666667,11.466666666666667,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Penalty Method,1.0,0.8,1.6,13,13,0.999820645367287,22.6,36.3,"Langermann, Const3, Penalty"
Langermann,Constraint 3,Rejection Method,0.05,0.8,1.6,13,13,0.9936993608500578,10.833333333333334,36.93333333333333,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.1,0.8,1.6,13,13,0.9603187789720306,11.166666666666666,34.233333333333334,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.25,0.8,1.6,13,13,0.9980678593648962,12.1,24.566666666666666,"Langermann, Const3, Rejection"
