Fitness Function,Constraint,Constraint Used,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9842895345843514,39,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,14,14
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,18,18
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,14,14
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9619170347814971,22,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9842895345843514,19,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.956889443565618,7,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,15,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.680906062282291,19,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,24,24
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,6,6
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.5934089188465111,8,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,19,19
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,18,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,20,20
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,34,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,49,49
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.6537607005789206,13,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.6128421101342801,17,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,10,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,31,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,15,15
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,13,13
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,6,6
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,49,49
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,6,6
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,5,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,15,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,31,31
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,5,5
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,3,3
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,9,9
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,18,18
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,9,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,15,15
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,12,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,22,22
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,8,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,19,19
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,19,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,27,27
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,24,24
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,0.9992952506441721,12,50
Schaffer,Constraint 3,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,6,6
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.9992952506441721,21,50
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,18,18
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,17,17
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.7893461468956237,10,50
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Schaffer,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,27,27
