Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Schaffer,Constraint 4,Penalty Method,0.3,0.5,3.5,13,13,0.9998590501288345,16.433333333333334,23.6,"Schaffer, Const4, Penalty"
Schaffer,Constraint 4,Penalty Method,0.3,1.0,1.0,13,13,0.9661728668814775,19.866666666666667,31.966666666666665,"Schaffer, Const4, Penalty"
Schaffer,Constraint 4,Penalty Method,0.3,1.0,2.0,13,13,0.9865905512925462,15.3,30.166666666666668,"Schaffer, Const4, Penalty"
Schaffer,Constraint 4,Penalty Method,0.3,2.0,1.0,13,13,0.9607877801028231,21.666666666666668,32.2,"Schaffer, Const4, Penalty"
Schaffer,Constraint 4,Penalty Method,0.3,3.5,0.5,13,13,0.9823914278349889,32.4,41.2,"Schaffer, Const4, Penalty"
Schaffer,Constraint 4,Rejection Method,0.3,0.5,3.5,13,13,0.9996946086124745,17.3,33.43333333333333,"Schaffer, Const4, Rejection"
Schaffer,Constraint 4,Rejection Method,0.3,1.0,1.0,13,13,0.968804561405072,14.266666666666667,33.6,"Schaffer, Const4, Rejection"
Schaffer,Constraint 4,Rejection Method,0.3,1.0,2.0,13,13,0.9811459179400098,12.966666666666667,24.966666666666665,"Schaffer, Const4, Rejection"
Schaffer,Constraint 4,Rejection Method,0.3,2.0,1.0,13,13,0.9913737279421769,21.0,31.0,"Schaffer, Const4, Rejection"
Schaffer,Constraint 4,Rejection Method,0.3,3.5,0.5,13,13,0.9932016730833537,26.266666666666666,29.866666666666667,"Schaffer, Const4, Rejection"
