Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5723857979976301,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5540882601666756,6,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9619170347814971,6,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5540882601666756,2,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5561020853068626,5,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5581632458803961,5,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5527854867070866,9,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6108411244473649,6,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5570021071990937,2,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5533034173467366,3,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6236674838224979,4,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5984237477257388,3,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5529009818673662,5,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5912889394088195,5,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5568706892046805,2,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5587840189529759,6,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5557812512356999,6,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.7779502102315905,5,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5656321048431429,5,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.585531985346828,7,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5615821519967025,4,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5669364554686336,6,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5814066539983871,2,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.553237042739413,4,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5529053936548499,7,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6136797829413981,4,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.553434458851166,9,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5529815570333095,2,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5558730660871861,4,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6065822494576109,3,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.553450240811699,4,50
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5561424480731617,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5649135135391562,6,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5737052535106957,4,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5547365083777918,3,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5527854867070866,4,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5919608201731902,3,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.6209878607983773,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5565702546506714,4,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5671268245913055,5,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5195907936849912,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.553835704315791,4,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5718295729746079,3,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5564586313302912,7,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5511987792586007,5,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5557676552601205,4,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.9267111736963661,7,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.6104275621419677,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5520656313462575,3,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5529316843280306,3,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5558677583107727,9,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5969779601086899,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.571798229805054,3,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5556453449338805,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5544136961419378,7,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5537707405192814,7,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5521263002288778,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.6768143500463204,7,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5800313635716594,2,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.6066807085796606,5,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5509061803177262,5,50
Schaffer,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5533034173467366,4,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5540243292483175,4,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5544278894619042,4,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5547588045905,5,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5533715181001212,4,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.6537607005789206,5,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5524002267554531,2,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5779532361069472,5,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5938737473679854,5,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5513074840231127,3,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5540882601666756,2,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5526425909475106,5,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5712444129520268,8,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5792860236354083,4,50
Schaffer,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5541789493873645,2,50
